iter	Passed	Remaining
0	135	134946
1	137	68384
2	138	46104
3	139	34844
4	141	28073
5	142	23554
6	142	20262
7	143	17795
8	144	15873
9	144	14338
10	145	13079
11	146	12045
12	147	11163
13	147	10402
14	148	9745
15	149	9172
16	149	8661
17	150	8205
18	151	7797
19	151	7432
20	152	7100
21	152	6798
22	153	6523
23	154	6269
24	154	6036
25	155	5820
26	155	5621
27	156	5435
28	157	5262
29	157	5101
30	158	4951
31	159	4809
32	159	4680
33	160	4555
34	161	4441
35	161	4331
36	162	4226
37	162	4126
38	163	4030
39	164	3940
40	164	3855
41	165	3774
42	166	3696
43	166	3621
44	167	3550
45	167	3484
46	168	3418
47	169	3355
48	169	3295
49	170	3237
50	171	3182
51	171	3128
52	172	3077
53	172	3028
54	173	2984
55	174	2941
56	175	2900
57	176	2859
58	176	2819
59	177	2779
60	178	2740
61	178	2703
62	179	2666
63	179	2631
64	180	2597
65	181	2563
66	181	2530
67	182	2495
68	182	2464
69	183	2434
70	183	2406
71	184	2378
72	185	2350
73	185	2324
74	186	2298
75	187	2273
76	187	2249
77	188	2225
78	188	2202
79	189	2179
80	190	2159
81	190	2137
82	191	2116
83	192	2096
84	192	2073
85	193	2053
86	193	2032
87	194	2013
88	194	1995
89	195	1977
90	196	1960
91	196	1943
92	197	1927
93	198	1910
94	198	1895
95	199	1879
96	200	1864
97	200	1848
98	201	1834
99	202	1820
100	202	1806
101	203	1789
102	203	1776
103	204	1763
104	205	1750
105	205	1737
106	206	1724
107	207	1711
108	207	1700
109	208	1687
110	209	1675
111	209	1664
112	210	1652
113	211	1641
114	211	1629
115	212	1617
116	212	1606
117	213	1596
118	214	1584
119	214	1574
120	215	1564
121	216	1554
122	216	1542
123	217	1533
124	217	1524
125	218	1515
126	219	1506
127	219	1496
128	220	1487
129	220	1478
130	221	1470
131	222	1461
132	222	1453
133	223	1444
134	224	1436
135	224	1428
136	225	1420
137	226	1412
138	226	1404
139	227	1396
140	228	1389
141	228	1381
142	229	1374
143	230	1367
144	230	1360
145	231	1353
146	232	1346
147	232	1339
148	233	1333
149	234	1326
150	234	1319
151	235	1313
152	236	1306
153	236	1300
154	237	1293
155	237	1287
156	238	1281
157	239	1274
158	239	1268
159	240	1262
160	241	1257
161	241	1250
162	242	1245
163	243	1239
164	243	1233
165	244	1228
166	245	1222
167	245	1217
168	246	1211
169	247	1206
170	247	1201
171	248	1196
172	249	1191
173	249	1186
174	250	1181
175	251	1176
176	251	1171
177	252	1166
178	253	1161
179	253	1156
180	254	1150
181	254	1145
182	255	1140
183	256	1135
184	256	1131
185	257	1126
186	258	1122
187	258	1117
188	259	1113
189	260	1108
190	260	1104
191	261	1099
192	262	1095
193	262	1091
194	263	1087
195	264	1083
196	264	1079
197	265	1074
198	266	1070
199	266	1066
200	267	1062
201	267	1058
202	268	1054
203	269	1050
204	269	1046
205	270	1043
206	271	1040
207	272	1036
208	272	1032
209	273	1028
210	274	1025
211	274	1021
212	275	1017
213	276	1014
214	276	1010
215	277	1007
216	278	1003
217	278	1000
218	279	996
219	280	993
220	280	989
221	281	985
222	281	982
223	282	979
224	283	975
225	284	972
226	284	969
227	285	965
228	285	962
229	286	959
230	287	955
231	287	952
232	288	949
233	289	946
234	289	943
235	290	940
236	291	937
237	291	934
238	292	931
239	293	928
240	293	925
241	294	922
242	295	919
243	295	916
244	296	913
245	296	910
246	297	907
247	298	904
248	298	901
249	299	898
250	300	895
251	300	892
252	301	889
253	301	886
254	302	884
255	303	881
256	303	878
257	304	875
258	305	873
259	305	870
260	306	868
261	307	865
262	308	863
263	308	860
264	309	858
265	310	855
266	310	853
267	311	851
268	312	848
269	312	846
270	313	843
271	314	841
272	314	838
273	315	836
274	316	834
275	317	832
276	318	830
277	318	828
278	319	826
279	320	823
280	321	821
281	321	819
282	322	817
283	323	815
284	324	812
285	324	810
286	325	808
287	325	805
288	326	803
289	327	801
290	327	798
291	328	796
292	329	794
293	329	792
294	330	790
295	331	788
296	332	786
297	332	783
298	333	781
299	334	779
300	334	777
301	335	775
302	336	773
303	336	771
304	337	769
305	338	767
306	338	765
307	339	763
308	340	760
309	340	758
310	341	756
311	342	754
312	342	752
313	343	750
314	344	748
315	344	746
316	345	744
317	346	742
318	346	740
319	347	738
320	348	736
321	348	734
322	349	732
323	350	730
324	350	728
325	351	727
326	352	725
327	352	723
328	353	721
329	354	719
330	355	717
331	355	715
332	356	714
333	357	712
334	357	710
335	358	708
336	359	706
337	359	704
338	360	702
339	361	700
340	361	699
341	362	697
342	363	695
343	363	693
344	364	691
345	365	690
346	365	688
347	366	686
348	367	685
349	368	683
350	368	682
351	369	680
352	370	679
353	371	677
354	371	675
355	372	674
356	373	672
357	374	671
358	375	669
359	375	668
360	376	666
361	377	665
362	378	663
363	378	661
364	379	660
365	380	659
366	381	657
367	382	656
368	382	654
369	383	652
370	384	651
371	385	650
372	385	648
373	386	647
374	387	645
375	388	644
376	388	642
377	389	640
378	390	639
379	390	637
380	391	636
381	392	634
382	393	633
383	393	632
384	394	630
385	395	629
386	396	627
387	397	626
388	397	624
389	398	623
390	399	621
391	400	620
392	400	618
393	401	617
394	402	615
395	402	614
396	403	612
397	404	611
398	404	609
399	405	608
400	406	606
401	406	605
402	407	603
403	408	602
404	409	601
405	409	599
406	410	598
407	411	596
408	411	595
409	412	593
410	413	592
411	413	590
412	414	589
413	415	587
414	415	586
415	416	584
416	417	583
417	417	581
418	418	580
419	419	579
420	419	577
421	420	576
422	421	574
423	422	573
424	422	571
425	423	570
426	424	569
427	425	568
428	425	566
429	426	565
430	426	563
431	427	562
432	428	560
433	428	559
434	429	557
435	430	556
436	430	554
437	431	553
438	431	552
439	432	550
440	433	549
441	433	547
442	434	546
443	435	545
444	435	543
445	436	542
446	437	541
447	438	540
448	439	538
449	439	537
450	440	536
451	441	535
452	442	533
453	442	532
454	443	531
455	443	529
456	444	528
457	445	526
458	445	525
459	446	524
460	447	522
461	447	521
462	448	520
463	449	518
464	449	517
465	450	516
466	451	515
467	451	513
468	452	512
469	453	511
470	454	509
471	454	508
472	455	507
473	456	506
474	456	504
475	457	503
476	458	502
477	458	500
478	459	499
479	460	498
480	460	497
481	461	495
482	461	494
483	462	493
484	463	491
485	463	490
486	464	489
487	465	488
488	466	487
489	466	485
490	467	484
491	468	483
492	468	482
493	469	481
494	470	479
495	470	478
496	471	477
497	472	476
498	473	475
499	473	473
500	474	472
501	475	471
502	475	470
503	476	468
504	477	467
505	477	466
506	478	464
507	478	463
508	479	462
509	480	461
510	480	459
511	481	458
512	482	457
513	482	456
514	483	455
515	483	453
516	484	452
517	485	451
518	485	450
519	486	449
520	487	448
521	488	446
522	488	445
523	489	444
524	489	443
525	490	441
526	491	440
527	491	439
528	492	438
529	492	437
530	493	435
531	494	434
532	494	433
533	495	432
534	496	431
535	496	430
536	497	429
537	498	427
538	498	426
539	499	425
540	499	424
541	500	422
542	501	421
543	501	420
544	502	419
